sneaker-title,subcategory,style,coloris,price-retail,release-date,img-slide-src,img-fixed-src
Jordan 1 Retro High Shadow 2.0,1,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 Retro High OG Hyper Royal,1,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 OG Chicago (1985),1,4280,White/Black-Red,65 $US,16/09/1985,https://images.stockx.com/360/Air-Jordan-1-OG-Chicago-1985/Images/Air-Jordan-1-OG-Chicago-1985/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1606316360&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 Retro High Shadow 2.0 (GS),1,575441-035,Black/White-Light Smoke Grey,130 $US,15/05/2021,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey-GS/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey-GS/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621280781&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 Mid Crimson Tint Toe,1,554724-133,Crimson Tint/White-Black,null,null,https://images.stockx.com/360/Air-Jordan-1-Mid-Crimson-Tint-Toe/Images/Air-Jordan-1-Mid-Crimson-Tint-Toe/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1619200168&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 Mid Crimson Tint Toe (GS),1,554725-133,Crimson Tint/White-Black,null,null,https://images.stockx.com/360/Air-Jordan-1-Mid-Crimson-Tint-Toe-GS/Images/Air-Jordan-1-Mid-Crimson-Tint-Toe-GS/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1620404569&fit=clip&fm=jpg&ixlib=react-9.1.1,
Jordan 1 Mid Igloo,1,554724-132,White/Black/Island Green,115 $US,null,,https://images.stockx.com/images/Air-Jordan-1-Mid-Igloo.jpg?fit=clip&bg=FFFFFF&w=700&h=500&auto=compress&q=90&dpr=2&trim=color&updated_at=1618512578&fm=jpg&ixlib=react-9.1.1
Jordan 1 Mid Igloo (GS),1,554725-132,White/Black/Island Green,65 $US,null,,https://stockx-assets.imgix.net/media/Product-Placeholder-Default-20210415.jpg?fit=clip&bg=FFFFFF&w=700&h=500&auto=compress&q=90&dpr=2&trim=color&updated_at=false&fm=jpg&ixlib=react-9.1.1
Jordan 3 Retro Electric Green (GS),3,DA2304-003,Black/White-Electric Green-Violet Shock-Green Glow,140 $US,01/04/2021,,https://images.stockx.com/images/Air-Jordan-3-Retro-Electric-Green-GS.jpg?fit=clip&bg=FFFFFF&w=700&h=500&auto=compress&q=90&dpr=2&trim=color&updated_at=1615568363&fm=jpg&ixlib=react-9.1.1
Jordan 12 Retro Low Super Bowl (GS),12,DH9695-001,Black/Varsity Red/Metallic Gold,140 $US,null,https://images.stockx.com/360/Air-Jordan-12-Retro-Low-Super-Bowl-GS/Images/Air-Jordan-12-Retro-Low-Super-Bowl-GS/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1620404864&fit=clip&fm=jpg&ixlib=react-9.1.1,
