web-scraper-order,web-scraper-start-url,sneakers-link,sneakers-link-href,sneaker-title,style,coloris,price-retail,release-date,category,img-slide-src,img-fixed-src
1621435453-509,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High Shadow 2.0meilleure demande174 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,Jordan 1 Retro High Shadow 2.0,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435453-508,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High Shadow 2.0meilleure demande174 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,1,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435453-507,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High Shadow 2.0meilleure demande174 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,Air Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435453-506,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High Shadow 2.0meilleure demande174 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,sneakers,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435453-505,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High Shadow 2.0meilleure demande174 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,555088-035,Black/White-Light Smoke Grey,170 $US,15/05/2021,Home,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1621255681&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435443-504,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High OG Hyper Royalmeilleure demande226 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High OG Hyper Royal,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,Jordan 1 Retro High OG Hyper Royal,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435443-503,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High OG Hyper Royalmeilleure demande226 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High OG Hyper Royal,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,1,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435443-502,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High OG Hyper Royalmeilleure demande226 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High OG Hyper Royal,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,Air Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435443-501,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High OG Hyper Royalmeilleure demande226 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High OG Hyper Royal,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,sneakers,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
1621435443-500,https://stockx.com/fr-fr/retro-jordans?page=1,Jordan 1 Retro High OG Hyper Royalmeilleure demande226 €,https://stockx.com/fr-fr/air-jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High OG Hyper Royal,555088-402,Hyper Royal/Light Smoke Grey-White,170 $US,17/04/2021,Home,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Images/Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey/Lv2/img01.jpg?auto=compress&w=559&q=90&dpr=2&updated_at=1618238995&fit=clip&fm=jpg&ixlib=react-9.1.1,
